# 股票代码列表配置
# 格式: 股票代码|股票名称
# 生成时间: 2026-02-18 16:43:54

300812|易天股份
300449|汉邦高科
300719|安达维尔
300251|光线传媒
688147|微导纳米
688702|盛科通信-U
688409|富创精密
300486|东杰智能
688280|精进电动-UW
002498|汉缆股份
600984|建设机械
000839|国安股份
601777|千里科技
000890|法尔胜
601890|亚星锚链
002843|泰嘉股份
002703|浙江世宝
600629|华建集团
000859|国风新材
000021|深科技
605033|美邦股份
002355|兴民智通
600410|华胜天成
001896|豫能控股
600893|航发动力
603163|圣晖集成
605289|罗曼股份
603533|掌阅科技
603331|百达精工
002009|天奇股份
603960|克来机电
002951|金时科技
002169|智光电气
603466|风语筑
000798|中水渔业
605007|五洲特纸
002510|天汽模
600791|京能置业
300369|绿盟科技
300132|青松股份
688629|华丰科技
688031|星环科技-U
300935|盈建科
688586|江航装备
600397|江钨装备
300589|江龙船艇
301555|惠柏新材
688563|航材股份
300100|双林股份
603090|宏盛股份
001210|金房能源
002988|豪美新材
301193|家联科技
000738|航发控制
301356|天振股份
688767|博拓生物
688510|航亚科技
688533|上声电子
605255|天普股份
301052|果麦文化
301051|信濠光电
300065|海兰信
688646|ST逸飞
000833|粤桂股份
603103|横店影视
300424|航新科技
301363|美好医疗
688579|山大地纬
300567|精测电子
603297|永新光学
301285|鸿日达
301217|铜冠铜箔
002655|共达电声
301469|恒达新材
688292|浩瀚深度
300766|每日互动
300107|建新股份
300779|惠城环保
001330|博纳影业
600641|先导基电
688001|华兴源创
301008|宏昌科技
688419|耐科装备
300258|精锻科技
600977|中国电影
002467|二六三
000973|佛塑科技
300718|长盛轴承
605136|丽人丽妆
688343|云天励飞-U
688085|三友医疗
000638|*ST万方
301518|长华化学
603045|福达合金
301013|利和兴
603021|ST华鹏
000488|ST晨鸣
000016|深康佳Ａ
000669|ST金鸿
000004|*ST国华
000711|ST京蓝
000821|ST京机
002289|*ST宇顺
603268|*ST松发
001270|*ST铖昌
000609|ST中迪
002647|*ST仁东
300042|朗科科技
603667|五洲新春
002713|*ST东易
002592|ST八菱
002374|中锐股份
300667|必创科技
301018|申菱环境
300097|ST智云
002812|恩捷股份
688785|恒运昌
600538|国发股份
688239|航宇科技
300806|斯迪克
688308|欧科亿
300198|ST纳川
688652|京仪装备
300887|谱尼测试
688319|欧林生物
002931|锋龙股份
301292|海科新源
002196|方正电机
301286|侨源股份
688809|强一股份
002357|富临运业
300587|天铁科技
688329|艾隆科技
002581|ST未名
002297|博云新材
688286|敏芯股份
002896|中大力德
688488|艾迪药业
300749|顶固集创
688561|奇安信-U
688309|恒誉环保
002519|银河电子
300552|万集科技
688515|裕太微-U
688627|精智达
300938|信测标准
300895|铜牛信息
605183|确成股份
603929|亚翔集成
002933|新兴装备
688549|中巨芯-U
603000|人民网
688337|普源精电
603197|保隆科技
301293|三博脑科
001203|大中矿业
300707|威唐工业
688433|华曙高科
001309|德明利
688172|燕东微
300878|维康药业
300659|中孚信息
002808|*ST恒久
688229|博睿数据
688141|杰华特
688027|国盾量子
603306|华懋科技
000779|甘咨询
300528|幸福蓝海
300461|田中精机
300831|派瑞股份
002163|海南发展
301308|江波龙
688458|美芯晟
688548|广钢气体
688610|埃科光电
302132|中航成飞
603828|ST柯利达
300846|首都在线
001331|胜通能源
002638|勤上股份
301611|珂玛科技
300079|数码视讯
300264|佳创视讯
301360|荣旗科技
301326|捷邦科技
300131|英唐智控
300311|ST任子行
688244|永信至诚
300648|星云股份
301488|豪恩汽电
000559|万向钱潮
002134|天津普林
603284|C林平
300739|明阳电路
603738|泰晶科技
300753|爱朋医疗
300473|德尔股份
600730|中国高科
300260|新莱应材
601595|上海电影
301192|泰祥股份
603922|金鸿顺
600391|航发科技
002768|国恩股份
300868|杰美特
002283|天润工业
688282|理工导航
002837|英维克
688017|绿的谐波
300830|金现代
600673|东阳光
300788|中信出版
301595|太力科技
688288|鸿泉技术
301269|华大九天
300008|天海防务
002864|盘龙药业
300645|正元智慧
002870|香山股份
600966|博汇纸业
600960|渤海汽车
300508|维宏股份
002569|*ST步森
688261|东微半导
300585|奥联电子
002058|*ST威尔
002912|中新赛克
603124|江南新材
688535|华海诚科
301509|金凯生科
301259|艾布鲁
001324|长青科技
688630|芯碁微装
300254|仟源医药
603186|华正新材
301160|翔楼新材
300029|*ST天龙
002709|天赐材料
688628|优利德
603685|晨丰科技
688135|利扬芯片
002654|万润科技
603311|金海高科
300517|海波重科
688386|泛亚微透
300094|国联水产
688512|慧智微-U
603607|京华激光
603079|圣达生物
600939|重庆建工
001225|和泰机电
002199|*ST东晶
600862|中航高科
000688|国城矿业
688249|晶合集成
002766|索菱股份
603800|洪田股份
688023|安恒信息
600110|诺德股份
603138|海量数据
688353|华盛锂电
603398|*ST沐邦
002800|天顺股份
688201|信安世纪
603373|安邦护卫
603917|合力科技
301357|北方长龙
301316|慧博云通
688521|芯原股份
002008|大族激光
301628|强达电路
688818|C电科
688603|天承科技
600748|上实发展
600768|宁波富邦
600869|远东股份
300581|晨曦航空
001368|通达创智
603069|海汽集团
688653|康希通信
688656|浩欧博
688072|拓荆科技
600372|中航机载
688066|航天宏图
688556|高测股份
001259|利仁科技
300549|优德精密
603843|*ST正平
000006|深振业Ａ
688708|佳驰科技
601007|金陵饭店
300440|运达科技
002787|华源控股
688037|芯源微
688306|均普智能
600476|湘邮科技
688171|纬德信息
603078|江化微
688350|富淼科技
300889|爱克股份
688107|安路科技
688004|博汇科技
002739|万达电影
688322|奥比中光-UW
300853|申昊科技
688620|安凯微
301148|嘉戎技术
603156|养元饮品
300579|数字认证
002371|北方华创
301311|昆船智能
688448|磁谷科技
002214|*ST大立
688328|深科达
603683|晶华新材
603334|丰倍生物
603316|诚邦股份
600097|开创国际
688626|翔宇医疗
688011|新光光电
002268|电科网安
600288|大恒科技
300545|联得装备
688398|赛特新材
603155|新亚强
300169|天晟新材
688361|中科飞测
001230|劲旅环境
688225|亚信安全
002405|四维图新
300302|同有科技
300417|南华仪器
603038|华立股份
603638|艾迪精密
300368|汇金股份
300668|杰恩设计
600376|首开股份
002235|安妮股份
603776|永安行
688392|骄成超声
001260|坤泰股份
603165|荣晟环保
300655|晶瑞电材
688175|高凌信息
688157|松井股份
300499|高澜股份
001306|夏厦精密
300300|海峡创新
603650|彤程新材
300137|先河环保
603007|*ST花王
003018|金富科技
688038|中科通达
688207|格灵深瞳
688251|井松智能
688259|创耀科技
300301|ST长方
002307|北新路桥
301235|华康洁净
301203|国泰环保
301002|崧盛股份
002198|嘉应制药
000599|青岛双星
300469|信息发展
001278|一彬科技
688511|*ST天微
000752|ST西发
002135|东南网架
600015|华夏银行
688625|呈和科技
300600|国瑞科技
603088|宁波精达
600889|南京化纤
000796|凯撒旅业
002769|普路通
002177|御银股份
300371|汇中股份
688279|峰岹科技
600292|电投水电
300375|鹏翎股份
002105|信隆健康
603272|联翔股份
688552|航天南湖
600725|云维股份
002407|多氟多
688519|南亚新材
603258|电魂网络
002831|裕同科技
603081|大丰实业
301227|森鹰窗业
600593|大连圣亚
002261|拓维信息
301281|科源制药
002840|华统股份
000985|大庆华科
688758|赛分科技
605056|咸亨国际
688755|汉邦科技
688070|纵横股份
600148|长春一东
300020|ST银江
002835|同为股份
300475|香农芯创
603048|浙江黎明
688479|友车科技
300017|网宿科技
301045|天禄科技
603986|兆易创新
688607|康众医疗
688297|中无人机
688252|天德钰
603096|新经典
688347|华虹公司
603161|科华控股
002246|北化股份
688721|龙图光罩
300516|久之洋
603626|科森科技
600721|百花医药
605081|*ST太和
688669|聚石化学
601599|浙文影业
603819|神力股份
300352|北信源
688592|司南导航
003017|大洋生物
002971|和远气体
000929|*ST兰黄
000972|*ST中基
002868|*ST绿康
001211|双枪科技
000695|滨海能源
600184|光电股份
300551|古鳌科技
002989|中天精装
300983|尤安设计
300635|中达安
600708|光明地产
001267|汇绿生态
300736|百邦科技
300626|华瑞股份
603341|龙旗科技
002173|创新医疗
603421|鼎信通讯
003021|兆威机电
600493|凤竹纺织
603813|*ST原尚
301305|朗坤科技
300607|拓斯达
300147|ST香雪
300006|莱美药业
002756|永兴材料
301197|工大科雅
300580|贝斯特
600615|鑫源智造
002741|光华科技
688528|秦川物联
300219|鸿利智汇
000014|沙河股份
688455|科捷智能
688585|上纬新材
300099|尤洛卡
688583|思看科技
603955|大千生态
002920|德赛西威
300268|*ST佳沃
000007|全新好
002628|成都路桥
300970|华绿生物
300497|富祥药业
300466|赛摩智能
603903|中持股份
600671|天目药业
002050|三花智控
301276|嘉曼服饰
688112|鼎阳科技
601026|道生天合
301055|张小泉
000908|*ST景峰
300605|恒锋信息
600807|济高发展
